domain,col_nm,values
번호,LD_NO,"['1811000000', '1111002000', '1111000500', '1111010500', '1100020000', '1011010200', '6111000000', '1111017300', '1111010200', '1100000007', '1150000000', '1111010000', '1100000010', '1131010200', '1411010100', '4100000000', '1111000040', '1111310100', '1111010110', '1121000000', '1111010102', '1111010400', '1111010600', '1111010170', '1111010300', '1111010300', '1115010100', '1111010309', '1611010200', '1100000000', '1111030300', '8100000000', '1111000700', '1109000000', '1111000003', '1111810100', '1114010200', '1111010100', '1111000000', '1111012200', '1111010100', '1131000000', '1111080100', '1100100000', '1111010309', '1100000500', '1111010203', '1111000090', '1111014200', '1111010130', '1111000100', '1100002000', '1101010200', '1111060200', '1111000400', '1100000030', '1011010300', '1111910300', '1111310100', '1191010300', '1800000000', '1111000010', '1118000000', '4111010300', '1111010209', '1400000000', '1171010200', '1151010100', '8111010200', '1100000000', '1141000000', '1118010300', '1111000001', '1131000000', '1102000000', '1111002000', '1102000000', '1111010290', '1111110200', '1111010205', '1100000600', '1121010200', '1111040000', '1111000010', '1104000000', '1111014200', '1111014200', '1111000000', '1111007000', '1111000000', '1811010100', '1171010100', '1111030200', '1111910100', '1111000300', '1111010200', '9111010200', '1111010109', '1900000000', '1611010100']"
코드,AD_LEV,"['2', '0', '2', '3', '2', '0', '9', '5', '5', '0', '6', '2', '1', '5', '6', '0', '0', '6', '8', '3', '0', '4', '0', '4', '5', '6', '0', '8', '8', '9', '5', '8', '1', '3', '1', '1', '7', '4', '1', '3', '1', '1', '1', '6', '9', '1', '7', '0', '0', '1', '6', '5', '2', '0', '9', '7', '9', '5', '6', '8', '1', '8', '1', '0', '4', '7', '2', '0', '0', '0', '0', '4', '5', '7', '4', '0', '7', '9', '7', '7', '3', '2', '1', '2', '1', '0', '2', '8', '3', '5', '6', '6', '4', '1', '8', '8', '0', '1', '4', '0']"
번호,CTY_SGG_NO,"['49230', '21590', '48880', '41594', '47252', '48890', '41595', '41593', '37230', '47180', '48890', '40890', '47370', '11590', '47890', '40230', '43250', '40250', '47150', '46590', '47290', '77250', '47170', '47250', '47170', '41590', '41560', '41540', '67250', '47050', '47240', '41390', '47250', '41520', '46170', '47230', '47251', '47178', '48850', '41540', '27230', '17230', '47280', '47570', '41520', '61590', '47234', '48890', '57250', '47530', '41890', '88890', '71590', '49170', '47220', '87230', '41597', '87170', '41490', '97250', '46250', '47176', '42250', '48896', '47650', '47179', '40590', '40590', '37230', '41290', '49890', '48897', '48892', '47330', '41490', '49170', '47251', '48820', '47233', '41592', '48690', '97230', '40590', '45230', '40250', '17250', '42890', '81590', '88890', '68890', '48890', '47250', '46890', '43250', '58890', '48250', '47270', '47255', '48840', '41790']"
번호,CTY_NO,"['11', '17', '76', '46', '91', '48', '14', '41', '47', '46', '43', '46', '47', '48', '46', '14', '49', '81', '49', '49', '81', '51', '68', '45', '40', '66', '58', '97', '44', '28', '14', '87', '76', '34', '44', '44', '40', '94', '61', '44', '91', '45', '49', '11', '27', '74', '76', '49', '46', '42', '42', '46', '51', '97', '47', '76', '41', '31', '47', '43', '46', '42', '46', '16', '42', '43', '71', '38', '46', '44', '45', '18', '47', '43', '46', '41', '67', '47', '41', '96', '41', '40', '46', '47', '94', '51', '49', '42', '46', '42', '21', '31', '26', '49', '43', '48', '42', '46', '41', '41']"
번호,SGG_NO,"['716', '570', '160', '130', '140', '777', '530', '710', '152', '712', '450', '712', '132', '810', '770', '150', '330', '230', '110', '670', '780', '310', '310', '750', '715', '310', '470', '136', '110', '170', '110', '740', '718', '810', '310', '910', '772', '711', '719', '136', '130', '133', '160', '730', '160', '100', '714', '730', '771', '740', '118', '111', '250', '140', '718', '713', '930', '530', '130', '114', '570', '910', '810', '410', '450', '713', '712', '610', '810', '750', '134', '132', '150', '850', '159', '714', '119', '717', '153', '510', '118', '970', '778', '730', '710', '130', '120', '180', '110', '150', '160', '771', '670', '100', '131', '790', '152', '180', '712', '170']"
번호,EMD_NO,"['260', '410', '550', '340', '313', '337', '250', '311', '740', '360', '510', '740', '252', '650', '360', '140', '420', '250', '650', '259', '370', '340', '250', '430', '350', '930', '254', '317', '310', '820', '820', '310', '339', '270', '390', '930', '150', '350', '322', '350', '300', '259', '340', '330', '349', '430', '350', '346', '360', '420', '310', '254', '314', '331', '338', '720', '340', '341', '318', '380', '550', '360', '350', '333', '390', '280', '310', '370', '730', '310', '370', '258', '630', '317', '349', '230', '950', '410', '316', '350', '340', '910', '650', '270', '370', '326', '750', '940', '530', '920', '258', '450', '360', '300', '740', '335', '250', '324', '380', '260']"
번호,DL_NO,"['30', '29', '23', '32', '28', '22', '20', '28', '20', '90', '14', '01', '27', '29', '20', '14', '26', '81', '01', '08', '01', '06', '64', '33', '94', '22', '11', '64', '24', '51', '30', '81', '20', '34', '29', '22', '06', '25', '42', '54', '23', '22', '23', '07', '21', '31', '62', '09', '32', '29', '10', '20', '42', '80', '60', '60', '41', '25', '92', '11', '27', '22', '26', '00', '21', '61', '26', '13', '20', '29', '50', '09', '27', '44', '34', '44', '04', '14', '29', '54', '34', '21', '80', '41', '32', '25', '25', '22', '70', '21', '60', '27', '24', '27', '22', '13', '70', '24', '64', '60']"
,AD_NM1,"['솺기도', '경퍇북도', '전라뉸도', '경상멄도', '충궴남도', '경상남풳', '춤청남도', '경기뚼', '뵚기도', '경상쫍도', '경상껐도', '경랚도', '쾜기도', '럅라남도', '경뜷남도', '텙상북도', '경상샐도', '경상북툏', '경얆북도', '쟃상남도', '뭍상남도', '충헵남도', '전라앃도', '경상남긶', '충청남짿', '충잘남도', '경쑦남도', '경횖남도', '충청남칎', '경기폑', '웢청남도', '경상남곮', '경상남웞', '경궖북도', '핢라남도', '충숥남도', '티기도', '전톥남도', '경퍽남도', '충릦남도', '땔라남도', '경릨남도', '충뺸남도', '경상얡도', '경상탕도', '충쪍남도', '경기롒', '경상냂도', '경맵북도', '뚗청남도', '경상남뷵', '전라남펹', '경상북푫', '경쨈도', '경딘북도', '쬨청남도', '촊라남도', '충믹남도', '경쨱도', '경상남폚', '뷻기도', '쏬청남도', '경츙도', '경상북쫭', '쬌기도', '전라남쉆', '떇기도', '츚청남도', '전라켐도', '경받도', '충멺남도', '쑲상북도', '경먴북도', '경기빂', '탎상남도', '전라냈도', '충청뾦도', '경쾒남도', '업청남도', '충툞남도', '경상남혽', '뭸청남도', '충청굂도', '경상쑣도', '욻기도', '칠상북도', '충쥸남도', '경기룔', '전라남썐', '경기땰', '전라남휟', '전둌남도', '뇳라남도', '모기도', '충청숤도', '경먝도', '경팞도', '혴청남도', '경상맱도', '죝상북도']"
,AD_NM2,"['쳸구', '뮊주시', '뎩주시', '청주컌', '창맷시', '중큞', '뭛구', '상듲시', '상괚시', '창원팘', '상띵시', '턇항시', '청냷시', '놝주시', '중줝', '탹항시', '포항쳣', '떘주시', '쵐주시', '쾶주시', '포항뽪', '창쇋시', '포항석', '중찡', '포항쉖', '창릆시', '힊구', '상주퉱', '중츘', '청주쭟', '멍구', '포뭳시', '섧주시', '창곂시', '창콏시', '중븩', '상쇱시', '뇕원시', '렆주시', '퀪구', '뚨주시', '킉항시', '중첪', '중셊', '중밢', '창핮시', '첹항시', '씼주시', '포항솻', '윋항시', '붗원시', '몠원시', '중첁', '펬주시', '쬡주시', '얮주시', '포뇎시', '창원쀐', '핎원시', '창첉시', '포항뻭', '중멼', '튀주시', '상쌙시', '꼚주시', '렢구', '포쾀시', '상츄시', '창원냖', '포항땗', '상뿏시', '중컏', '포팳시', '중쫡', '햩구', '견항시', '상주퇒', '컪구', '청주뀀', '꿛주시', '창탤시', '상주뢗', '포옕시', '상주빓', '상싘시', '중뽄', '욲항시', '뚵주시', '창원쀐', '짃구', '창뺩시', '창원뜧', '포항뾗', '큒원시', '끾주시', '칂주시', '똞주시', '건항시', '청주잖', '붌항시']"
,AD_NM3,"['푓면', 'NULL', '듺산합포구', '상당둖', '뭂산합포구', '잾당구', '놐면', '마산합걫구', '롫구', '북퉯', '남틑', '껬당구', 'NULL', '좘면', '뽺산합포구', '마릗합포구', '남톕', '남뿣', '남쭮', '마산합포단', '마산합낃구', '마산싺포구', '상맲구', '상쥲구', '마측합포구', '마산합방구', '마산합포붕', '마산혉포구', '상뚹구', 'NULL', '긤구', '벍면', '믂구', 'NULL', '슭면', '마핒합포구', '남잭', '상산구', 'NULL', '뒣면', '텶당구', '상당죜', '섴구', '마산합환구', '댢구', 'NULL', 'NULL', '얐면', '릅면', '마산즋포구', '퍿면', '몓산합포구', '상폲구', '뫀당구', 'NULL', 'NULL', '마산쎰포구', '북퍹', '북쭐', '상당흤', 'NULL', '북튻', '남귉', '마산합굜구', '쫲구', '북엓', '휒당구', '마산택포구', '뭧구', '북뻪', '쵀당구', '쨎산합포구', 'NULL', '남칠', 'NULL', '북겅', '쉼구', '상당폟', '마산합킪구', '봵당구', '상당둖', '북꽼', '마산합줁구', 'NULL', '남읏', '마산합포꼐', '떧산합포구', '남넃', '마산놡포구', '즀산합포구', '마산합퓬구', '쩬산합포구', 'NULL', 'NULL', '촭구', '남됮', '겣당구', '북뢪', '상쁟구', '상궭구']"
