domain,col_nm,values
번호,EML,"['healim5194@kecv.or.kr', 'NULL', 'bsoh@kgrbi.com', 'test@hest.com', 'test@test.bom', 'heacim5194@keco.or.kr', 'NULL', 'NULL', 'healim7194@keco.or.kr', 'NULL', 'healim2194@keco.or.kr', 'test@test.coe', 'bsoh@iorbi.com', None, 'ttst@test.com', 'hedlim5194@keco.or.kr', None, 'bsoh@korbi.com', 'test@tedt.com', 'healim5194@keuo.or.kr', 'bsoh@korbi.cxm', 'bsoh@korbi.cox', 'NULL', None, 'NULL', 'bsrh@korbi.com', 'healim5194@keco.hr.kr', 'healim5194@seco.or.kr', 'bsoh@korbv.com', 'tewt@test.com', 'test@test.cdm', 'bsoh@korbi.tom', 'NULL', 'NULL', 'btoh@korbi.com', 'tesb@test.com', 'test@test.cos', 'bsoh@korbi.cdm', 'NULL', None, 'healim5194@kecc.or.kr', 'NULL', 'healim5194@keco.or.kr', 'bsoh@oorbi.com', 'test@tett.com', None, 'bsoh@korbr.com', None, None, 'test@tjst.com', 'bsoh@korbi.cow', 'nest@test.com', None, 'qealim5194@keco.or.kr', 'NULL', None, 'NULL', 'test@tesr.com', None, 'bswh@korbi.com', 'healim5194@keco.or.kr', None, 'teqt@test.com', 'NULL', 'test@test.cop', None, 'teot@test.com', 'bsoh@korbi.coy', None, 'test@iest.com', 'test@test.com', 'NULL', None, 'healim5194@kecd.or.kr', 'bsoh@korbi.cjm', 'beoh@korbi.com', 'test@telt.com', 'bsoh@korbi.cem', 'NULL', None, 'NULL', 'bnoh@korbi.com', 'wsoh@korbi.com', 'tgst@test.com', 'bsoh@korbi.hom', 'test@test.com', 'test@test.col', None, 'test@tejt.com', 'bsoh@morbi.com', None, None, None, 'NULL', 'bsoh@korbi.com', 'NULL', 'NULL', 'NULL', 'NULL', 'test@best.com']"
,INS_NM,"['(주)에뤼치코비', 'NULL', 'NULL', '지방자치젪체', '지방컂치단체', 'NULL', '지월자치단체', '한국환경공뤧', '지방자곰단체', 'NULL', 'NULL', '지방쮕치단체', '꽐경부', '지방자풩단체', '환경햙', '(주)셣이치코비', '한국환경공흮', '낄국환경공단', '환펴부', '한국환펆공단', '지방자치픶체', '(주)에픡치코비', '지톈자치단체', 'NULL', '넺경부', '한국환경뮠단', '지방자썥단체', '환경렑', 'NULL', '뀌경부', '(주)늫이치코비', '환경횦', '뢁국환경공단', 'NULL', '지방자뙏단체', '뭸국환경공단', 'NULL', '(주)에이치뀕비', '환경좲', '한국환경쁽단', '지방자치쬈체', 'NULL', '지방자치단읗', '한국뤥경공단', 'NULL', '지방둚치단체', '지뻦자치단체', 'NULL', '한국환경롐단', 'NULL', '지픑자치단체', '(주)에이치코쩔', '지켙자치단체', '한국환경늝단', 'NULL', '한국샞경공단', '한국낶경공단', '즍경부', '(주)에욫치코비', 'NULL', '지방자치푨체', '지방자치쎔체', 'NULL', '한국환경띠단', '핉국환경공단', '(주)에이치코낺', '지놜자치단체', '덃경부', '지방자치단엎', 'NULL', '(주)에이치코빿', '환썒부', '늧경부', '돦경부', '(주)제이치코비', '한국환녳공단', '한국환경공걽', '(주)에이치코찱', 'NULL', '듐국환경공단', '붑경부', 'NULL', '지훩자치단체', 'NULL', '갟경부', '한룳환경공단', '환경귣', '(주)궷이치코비', '지방자치꾜체', '지방켯치단체', '지방꺤치단체', '지방자치셳체', '한뺣환경공단', '(주)에퉉치코비', '환경쐱', '(주)에났치코비', '(주)찻이치코비', '(주)에이픭코비', 'NULL', '환붜부']"
,PS_DPT_NM,"['비뿀시설검사부', None, '물환경사업뢚부', '수엷태비점사업부', None, '수생태비점찖업부', 'NULL', 'NULL', '비점시떕검사부', '물환경사뙿본부', 'NULL', '수즈태비점사업부', None, 'NULL', 'NULL', '물환경사옋본부', '먜점시설검사부', '물환경사업뺅부', '물환경사푐본부', '물환경사좂본부', None, '물환경사업순부', '비점뉣설검사부', '수생태왭점사업부', '물환뾿사업본부', None, None, '물환경큔업본부', None, '뱨점시설검사부', '수생태비점사쒂부', '비점읤설검사부', '물환경사쩓본부', '비점쌺설검사부', '비점슱설검사부', '물꽊경사업본부', '물환경사둥본부', 'NULL', None, '물환경찀업본부', None, '비점시설검사롂', None, '수풃태비점사업부', '수생태비점사업윍', None, None, '수생태비뭪사업부', 'NULL', '수생태비점사싦부', '수뭔태비점사업부', '물승경사업본부', '비점시설옘사부', 'NULL', '비점시설검넩부', None, '수생태비점벴업부', '비점쯇설검사부', None, 'NULL', '비점시설믛사부', '수생렡비점사업부', '비점죤설검사부', '비점시설굌사부', '비점뤇설검사부', 'NULL', 'NULL', 'NULL', '수생태비점사쇓부', None, '물환경사업본엎', '비점시껋검사부', 'NULL', '물환경사업본졪', '수생컋비점사업부', 'NULL', None, '비점시샠검사부', None, None, '물환경사업츻부', '수생뵑비점사업부', '수톲태비점사업부', None, '물햄경사업본부', '땁환경사업본부', '비점시설검묺부', '쁘생태비점사업부', 'NULL', 'NULL', 'NULL', 'NULL', '비점시설검사꽤', None, '비점시설검숹부', '물환경눵업본부', '비쵮시설검사부', '비점렑설검사부', '비점캜설검사부', None]"
,TIT,"['주무쪶', '졉무관', '쀵무관', '쪱원', '쨳원', '주무띔', '과뮂', '펉원', '사덍', '쑻장', 'NULL', None, '잶원', '주첿관', 'NULL', '과쾰', None, 'NULL', '주무캰', '뚠무관', '몳장', '튐장', '과봙', '과떲', '주퐭관', None, '과셛', '주무씨', None, None, '사끷', '사쯧', '탻장', '뚢원', None, '주무캀', '렖원', '횚무관', None, '퍀무관', '과흣', None, '쎍장', '휳장', None, None, 'NULL', None, None, '좊원', '뗕장', 'NULL', '과잙', '주무빥', '과쥼', '주맘관', '사몎', None, None, '훌장', '주무혏', '흆무관', 'NULL', None, '주껎관', None, '퉩장', 'NULL', '뼥원', None, '툁원', '주틇관', '훤원', None, None, None, 'NULL', '퐼장', 'NULL', 'NULL', 'NULL', '주무콱', None, '사장', '읐원', '뵫장', '주탄관', '엶장', '엙장', None, 'NULL', None, '과뮘', '뤍원', '켍장', '과픆', '뮧원', 'NULL', 'NULL', None]"
,USR_DSC,"['쎵태하천복원사업관리', '생태하천쵦원사업 자료입력', '생태하천룬원사업관리', '생태하천복원뽻업관리', '생태하천복원짗업관리', '생태뛹천복원사업 정보입력', '생태하천복원사업캙리', '측정좷 유지관리', '측뱼망 유지관리', 'NULL', '힠태하천복원사업 정보입력', 'NULL', '생탔하천복원사업 자료입력', '측정씜 유지관리', '생태하천복원놇업 정보입력', '생태하천복원사업 자료꾢력', '생태하천복원사업관휧', '쉫정망 유지관리', '생태하천복원사업 솨보입력', '생태하천복원사덥관리', 'NULL', 'NULL', '생태얎천복원사업 정보입력', '생태하천복원사돎 정보입력', '측풊망 유지관리', '측싚망 유지관리', '생태하천복원컺업 자료입력', '생태하천텵원사업 자료입력', 'NULL', '생태하혏복원사업관리', '생태하천복원사업 자료힛력', 'NULL', '생태하천복원사업관꺫', '생태하천복원사둴 정보입력', '생태얠천복원사업관리', '생태쁡천복원사업 정보입력', 'NULL', '측정망 유지촔리', '생태하천복원사업 쇭료입력', '생츁하천복원사업 정보입력', '생태하천첄원사업 자료입력', '생태하천복원쐆업관리', '측정망 유지깬리', '생태역천복원사업 자료입력', 'NULL', '생태하천복띵사업 자료입력', '생태하천복원사툆 자료입력', '측정망 쭃지관리', '힠태하천복원사업관리', '생태하천복원사덅 정보입력', '생태하천촠원사업 정보입력', '생태하천복원사빪 정보입력', '쟱태하천복원사업 정보입력', 'NULL', '생태하천복원사업관뿴', '생태하천복원사쁗 정보입력', '생태하천복원사업 뿦보입력', '측쎶망 유지관리', 'NULL', 'NULL', '걷태하천복원사업 정보입력', '생똭하천복원사업 정보입력', '측됄망 유지관리', '생태하천복원믎업관리', '생태하천복원사귍 정보입력', '생뀲하천복원사업 자료입력', '생태하천복원사업 자료입멫', '측정망 유지관롳', '생태하천복원사업 퇻료입력', '생태하천복원쮴업관리', 'NULL', '쀠태하천복원사업관리', 'NULL', '생질하천복원사업 정보입력', '측정망 유지됚리', '생태하천복원사먨 자료입력', 'NULL', '생태하천복원놠업 정보입력', '생태하천복원사쿝관리', '생태하천복원사뺰 자료입력', '생태하천복원사업 정보입탪', '븉정망 유지관리', '생태횡천복원사업관리', '생태하천톂원사업관리', '생태하천툄원사업관리', '생태하천복풲사업관리', 'NULL', 'NULL', 'NULL', '생뛨하천복원사업관리', '측정망 유지뻆리', '생태하천복원사챋 자료입력', '측정망 싄지관리', '생태뺃천복원사업 자료입력', '생태하천복쒣사업 정보입력', '생태하천윑원사업 자료입력', '측정망 유퐕관리', '측뻒망 유지관리', '생태하천복원사업 뵪보입력', '튮태하천복원사업 자료입력']"
날짜,LAT_LGN_DTM,"['60200403095954', 'NULL', '80210122141630', '20210122141636', '20190718103621', 'NULL', '20210122141630', '20190725102201', '20190718103601', 'NULL', '20210522141630', 'NULL', 'NULL', '20190225102201', '20190718193631', '20190718103639', '20204403095954', '20190719103631', 'NULL', '20190725102201', 'NULL', '20200404095954', '23190718103631', '20210122111630', '20210132141630', '20199725102201', 'NULL', 'NULL', '20190725162201', '26190718103631', '20200403095953', '20190725106201', '20190725192201', '20200403095954', '20193718103631', 'NULL', 'NULL', '20200403095956', '20213122141630', '20200203095954', '20190778103631', '20190718103631', '20190725302201', '20200433095954', '20190715103631', 'NULL', '90200403095954', '20190718503631', '20210122141630', 'NULL', '20200493095954', 'NULL', '20200403095958', '20230403095954', 'NULL', '20200403095954', '20400403095954', '20199718103631', 'NULL', '20200403095054', 'NULL', '20200403095974', '20190718103831', 'NULL', '20490718103631', 'NULL', '20200403095254', '20190318103631', 'NULL', '20190718103731', '20190718103631', 'NULL', '20180718103631', 'NULL', '20210122111630', 'NULL', '20204403095954', 'NULL', '20130718103631', '20210121141630', '20900403095954', '20410122141630', '20190125102201', '20190725102204', '80190725102201', '20190768103631', '20190725102207', 'NULL', '20210122141730', '20190718703631', '30200403095954', '20200403055954', 'NULL', '20190118103631', '40190725102201', '20210122191630', '20190718153631', '60200403095954', '20210122141635', '20210722141630']"
날짜,PWD_CHG_DTM,"['20800320161449', '20200403094356', '20200703094226', '20200320161449', '23200320161449', '20200320121449', '20200403394602', '20200403004226', '20200403094609', '20200403074356', '20200403091226', '20200403074602', '20200403094309', '20200403004602', '20200403094526', '20200403094602', '20204403094226', '20200493094309', '20200403594309', '20200403094309', '28200403094602', '20700403094602', '20200404094602', '20200401094309', '20200403094626', '20204403094226', '20200403494602', '20220403094356', '20200403054602', '30200403094356', '20200320161449', '40200403094226', '20200403094356', '20200120161449', '20200403054356', '20200403084226', '20200403094856', '20200403094409', '20240403094356', '20200320161445', '20204403094602', '90200320161449', '22200403094309', '20270403094309', '20200320161949', '20200403091602', '20200403094607', '20200403094603', '20202403094226', '20200473094602', '20200403094726', '20200403094309', '20200703094602', '20200403094602', '20000320161449', '20200503094602', '20400320161449', '20200803094309', '20200403094356', '20200403094226', '20200003094226', '20200403094726', '20200403094356', '20209403094309', '20270320161449', '20200401094309', '20202403094226', '20200403094369', '20200403094902', '20200403094357', '20208403094356', '20200320167449', '22200403094226', '20200403094389', '20200407094309', '20200403094266', '20200403294226', '23200403094356', '20200503094602', '20200328161449', '20200420161449', '20200403024602', '20200323161449', '30200403094226', '20200443094356', '30200403094226', '20200403098309', '29200320161449', '27200403094226', '20200403094601', '20200403094652', '20208403094602', '20200402094602', '20210403094356', '90200320161449', '20200403099602', '20210320161449', '20200403094642', '20200403094356', '20200403094002']"
코드,LCK_YN,"['NULL', 'F', 'P', 'J', 'Y', 'N', 'Y', 'C', 'NULL', 'NULL', 'H', 'Y', 'N', 'N', 'Y', 'N', 'N', 'C', 'U', 'N', 'NULL', 'N', 'Y', 'G', 'N', 'X', 'G', 'NULL', 'N', 'NULL', 'Y', 'NULL', 'Y', 'I', 'Y', 'N', 'N', 'NULL', 'Y', 'Y', 'NULL', 'NULL', 'I', 'N', 'A', 'Z', 'N', 'N', 'NULL', 'N', 'N', 'U', 'N', 'NULL', 'NULL', 'NULL', 'N', 'N', 'NULL', 'R', 'N', 'Y', 'N', 'NULL', 'Y', 'NULL', 'Y', 'N', 'NULL', 'Y', 'N', 'Y', 'N', 'N', 'Z', 'H', 'NULL', 'Y', 'N', 'N', 'L', 'N', 'E', 'Y', 'N', 'W', 'K', 'T', 'N', 'Y', 'N', 'NULL', 'NULL', 'NULL', 'Y', 'NULL', 'NULL', 'NULL', 'N', 'N']"
번호,CNNT_IP,"['172.31.132.145', '192.168.0.199', 'NULL', 'NULL', '172.31.132.135', '122.31.132.192', '172.51.132.192', '572.31.132.192', '572.31.132.155', '472.31.132.155', '192.164.0.999', '172.31.152.155', '072.31.132.192', 'NULL', '192.168.0.929', '172.31.133.155', '172.31.132.292', '192.168.0.099', '172.31.122.155', None, '172.31.132.159', '192.168.0.959', 'NULL', '172.31.132.195', '172.31.132.292', '102.168.0.999', '472.31.132.155', None, 'NULL', '172.31.182.155', 'NULL', None, None, '192.168.0.999', 'NULL', '192.164.0.999', None, None, None, 'NULL', '192.165.0.999', '172.31.131.155', '192.108.0.999', '172.31.132.455', '472.31.132.155', '172.35.132.155', '172.31.135.192', '172.31.132.292', '192.178.0.999', None, None, '172.71.132.192', '172.31.132.055', 'NULL', 'NULL', '192.168.0.949', '192.468.0.999', None, '192.168.6.999', '172.34.132.155', '172.81.132.192', None, 'NULL', None, '172.31.132.192', None, None, '172.31.532.192', '192.168.0.199', '172.37.132.155', '172.31.132.192', '172.31.132.159', 'NULL', '192.188.0.999', '172.31.132.122', '102.31.132.155', 'NULL', 'NULL', '177.31.132.192', '492.168.0.999', 'NULL', '192.168.0.999', None, None, '172.31.132.172', None, '172.31.192.155', '172.31.132.197', '172.34.132.155', '172.37.132.192', '172.31.132.155', '172.31.142.192', '172.31.132.155', '197.168.0.999', None, None, '162.31.132.155', '772.31.132.192', '192.668.0.999', 'NULL']"
여부,CNNT_YN,"['Y', 'Y', 'N', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'N', 'N', 'N', 'N', 'N', 'Y', 'N', 'Y', 'Y', 'Y', 'Y', 'N', 'N', 'Y', 'N', 'N', 'N', 'N', 'N', 'Y', 'N', 'N', 'Y', 'N', 'Y', 'Y', 'N', 'Y', 'Y', 'Y', 'Y', 'N', 'Y', 'N', 'N', 'Y', 'Y', 'Y', 'N', 'N', 'Y', 'N', 'Y', 'N', 'Y', 'Y', 'Y', 'N', 'N', 'Y', 'Y', 'Y', 'N', 'Y', 'N', 'Y', 'N', 'N', 'N', 'Y', 'N', 'Y', 'Y', 'N', 'Y', 'N', 'Y', 'N', 'Y', 'Y', 'N', 'Y', 'N', 'Y', 'N', 'N', 'N', 'Y', 'Y', 'N', 'N', 'N', 'Y', 'N', 'Y', 'N', 'Y', 'Y', 'Y', 'N']"
번호,BAS_SYS_NO,"['S03', 'S02', 'S05', 'D02', 'S83', 'Q02', 'S46', 'X01', 'S03', 'S00', 'S31', 'S04', 'S09', 'S33', 'S32', 'X03', 'K03', 'S33', 'S05', 'T06', 'S01', 'NULL', 'S16', 'S26', 'S33', 'T01', 'R06', 'NULL', 'S61', 'C06', 'E06', 'NULL', 'S02', 'S02', 'S92', 'S04', 'S51', 'S81', 'S07', 'S62', 'S07', 'K02', 'Y03', 'S06', 'I03', 'M02', 'S26', 'NULL', 'S05', 'P03', 'I01', 'S81', 'S43', 'S66', 'S06', 'P06', 'S07', 'C03', 'S02', 'S00', 'R06', 'NULL', 'S41', 'Y06', 'S02', 'S06', 'S07', 'S06', 'Q01', 'S93', 'NULL', 'S06', 'S52', 'NULL', 'S03', 'S02', 'NULL', 'S51', 'S05', 'S05', 'NULL', 'NULL', 'NULL', 'T02', 'S06', 'S01', 'S53', 'NULL', 'A02', 'S12', 'S11', 'NULL', 'E01', 'S22', 'NULL', 'NULL', 'S33', 'S04', 'NULL', 'S56']"
날짜,USE_PSB_BGN_DT,"['20223307', '20230303', 'NULL', '20229307', '20420801', '20120509', '20220607', '20227307', 'NULL', 'NULL', '20820509', 'NULL', '24220509', '20220301', '20430503', 'NULL', '20220407', 'NULL', '21220509', '10220307', '29230503', '20220509', '20290307', '60230503', 'NULL', '80230503', '20920801', '20230593', '20210503', 'NULL', '20220709', '40220509', '20220800', '20820509', 'NULL', 'NULL', '20220503', '50230503', '20230573', '20220307', '20220503', '20230103', '20120509', '20620307', 'NULL', 'NULL', '20290509', 'NULL', '20220509', '70220509', '20260801', '20230508', 'NULL', 'NULL', '20220509', '20320509', '20210801', '80220801', '20220101', 'NULL', '20220387', '20220508', '20220107', '20230503', 'NULL', '20270503', '20238503', '20220509', '20220811', '20620307', '20220207', '20920509', '20220589', '20220009', '20220529', '20220539', '20220807', '10220509', 'NULL', '70220307', '20030503', 'NULL', '20220409', 'NULL', 'NULL', '20230505', '20220201', '20223801', '90220509', '20230503', '20220007', '20220209', '20227307', '20230573', '20830503', 'NULL', '20226801', '20620509', '20120801', '20210801']"
날짜,USE_PSB_END_DT,"['NULL', '20291211', 'NULL', '90230502', '20280502', 'NULL', '28291231', '20230532', '20231261', '27230502', '20230592', '20231271', '20220503', '20231237', '20731231', '20291731', '20293231', '20235502', '20291201', '20233231', '40231231', 'NULL', '20235231', '20250500', 'NULL', '20258503', '10291231', 'NULL', '20251231', '20201231', '20240502', '23250503', 'NULL', '22231231', '24231231', '20240502', 'NULL', '20231234', '20250503', '20291281', '20291221', '20291231', 'NULL', '20931231', '40230502', '20250403', '20250507', '70231231', '29231231', '20230512', '20230302', '29291231', '20252503', 'NULL', '20250506', '23250503', '20530502', '20231231', 'NULL', '20250502', '10250503', '20232502', '20200503', '20250003', '20250503', '22250503', '20250506', '20230582', '20250504', 'NULL', '20221231', '20250503', '20291131', '20230802', '50291231', '20231131', 'NULL', '20231251', '20231231', '20391231', '20131231', 'NULL', '50291231', '26230502', '20231237', 'NULL', '20291239', 'NULL', '20250403', '20233231', '20231221', '20291431', '20231291', 'NULL', '26230502', '20231231', 'NULL', '22250503', 'NULL', '20230902']"
번호,LGN_FAL_CNT,"['9', '0', '5', '9', 'NULL', '8', '1', '2', '2', '0', 'NULL', '5', 'NULL', '0', '0', '0', '0', '4', '1', '1', '8', '0', '0', '0', '4', '2', '0', '6', '0', '0', '6', '1', '1', '9', 'NULL', '1', '7', '1', 'NULL', 'NULL', '0', '0', 'NULL', '7', '1', '0', '1', '0', '3', '1', '0', 'NULL', '5', '0', '0', 'NULL', 'NULL', '5', '1', '6', '2', '0', 'NULL', 'NULL', '8', '2', 'NULL', '7', '5', '1', 'NULL', '1', '0', '1', '1', 'NULL', '0', '9', '9', 'NULL', '9', '1', '1', 'NULL', '0', '1', '1', '6', '1', '7', '1', '1', '0', '9', '1', '3', 'NULL', '1', '1', 'NULL']"
