domain,col_nm,values
날짜,INP_TM,"['175135', '094529', '123578', '101450', '106453', '111658', '094829', '101403', '111643', '099529', '098529', '101452', '111654', '100453', '123578', '151453', '176335', '811653', '175335', '175335', '101853', '108453', '101463', '098529', '123512', '115653', '101753', '176335', '121518', '176335', '175331', '091529', '119653', '173335', '123511', '123618', '178335', '175035', '101403', '101353', '975335', '176335', '175331', '801453', '175335', '123818', '105335', '123718', '911653', '111655', '111683', '094539', '094589', '123518', '123518', '171335', '101153', '375335', '101353', '131453', '094589', '275335', '123548', '121653', '175332', '111653', '195335', '123518', '294529', '171335', '111953', '105453', '175535', '171653', '094521', '054529', '111853', '175035', '181453', '111650', '174335', '123511', '101553', '111153', '181653', '101458', '475335', '094519', '094129', '123515', '098529', '014529', '173518', '175338', '111643', '177335', '175235', '103518', '092529', '111693']"
번호,UPT_USR_ID,"['NULL', 'NULL', 'edmin', 'admzn', 'aymin', 'NULL', 'adkin', 'NULL', 'acmin', 'NULL', 'ajmin', 'adrin', 'NULL', 'idmin', 'admun', 'ndmin', 'NULL', 'NULL', 'admiu', 'NULL', 'admhn', 'admix', 'adkin', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'zdmin', 'admiq', 'adrin', 'admij', 'NULL', 'jdmin', 'NULL', 'NULL', 'NULL', 'NULL', 'axmin', 'NULL', 'admic', 'admdn', 'NULL', 'NULL', 'NULL', 'admit', 'ajmin', 'adtin', 'ajmin', 'NULL', 'jdmin', 'NULL', 'admin', 'adcin', 'NULL', 'admdn', 'NULL', 'admir', 'cdmin', 'NULL', 'NULL', 'abmin', 'kdmin', 'NULL', 'NULL', 'NULL', 'admbn', 'akmin', 'admin', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'vdmin', 'aomin', 'NULL', 'NULL', 'sdmin', 'adman', 'NULL', 'admir', 'NULL', 'tdmin', 'wdmin', 'acmin', 'NULL', 'adkin', 'NULL', 'sdmin', 'admiw', 'NULL']"
날짜,UPT_DT,"['20230364', '20230214', '20221215', '20240324', '20530110', '20230136', '20234116', '20221245', '20250324', '20230624', '20221215', '20230111', '20230328', '20221215', '20230310', '20230112', '20230324', '25221215', '20237314', '20530116', '20330314', '20730110', '20230216', '20261215', '20230334', '20221215', '20230524', '20230016', '23230314', '20430314', '20221115', '20221515', '20230110', '20221214', '23230314', '20230160', '20230116', '20230325', '20200116', '20230710', '20230324', '20221285', '20230314', '20210314', '20621215', '20270116', '20238110', '20230320', '20230116', '20221275', '20240116', '20221215', '20230354', '20200314', '20230316', '20239324', '20230614', '20235110', '20234314', '20221215', '20260110', '29230324', '20230314', '20230374', '20230110', '20234314', '20230214', '20230324', '20230190', '20830110', '20237324', '80230116', '20230111', '20237116', '90230110', '27230116', '20230124', '20721215', '21230110', '20226215', '20830324', '20230324', '20630110', '20230424', '22230110', '40230324', '20234314', '20221215', '20221205', '20230315', '20230324', '20230111', '20229215', '26230110', '20234110', '20230110', '20221210', '20230315', '22230110', '20235110']"
날짜,UPT_TM,"['111656', '601453', '101453', '111753', '101453', '094029', '111353', '123588', '111656', '094629', '044529', '064529', '175331', '111653', '923518', '099529', '175333', '801453', '111853', '123418', '111658', '111658', '675335', '411653', '601453', '211653', '094559', '094929', '185335', '211653', '175338', '093529', '123588', '101253', '201453', '123218', '175395', '275335', '123508', '103453', '121518', '111253', '118653', '101423', '004529', '975335', '107453', '294529', '675335', '094519', '211653', '101353', '090529', '123517', '123518', '094329', '116653', '123418', '175335', '175385', '101459', '024529', '801453', '175835', '094523', '101403', '975335', '111853', '101653', '175365', '101853', '165335', '101458', '094528', '123514', '175235', '102453', '123513', '094589', '175332', '175335', '123918', '123518', '175338', '294529', '301453', '124518', '054529', '143518', '175395', '611653', '094429', '101443', '121453', '101953', '123418', '094329', '094929', '171453', '094529']"
번호,USR_ID,"['korbi_4', 'korbi_7', 'xorbi_8', 'korbi44', 'korbi04', 'norbi04', 'ksrbi_5', 'karbi04', 'korbi74', 'kkrbi05', 'saa1', 'korti_8', 'korpi_5', 'koroi05', 'korbi04', 'kurbi05', 'korai04', 'korbi04', 'karbi04', 'rorbi_8', 'spa1', 'fga1', 'korbm04', 'sga1', 'kohbi04', 'korbr05', 'kwrbi04', 'korbi_3', 'korbi_9', 'torbi04', 'korbg_5', 'sya1', 'kzrbi_5', 'porbi_8', 'worbi05', 'koybi05', 'korbi_5', 'korbi04', 'sxa1', 'kormi_8', 'korbz_8', 'kolbi_5', 'swa1', 'koqbi_8', 'kkrbi_5', 'karbi_8', 'korbi09', 'koqbi04', 'horbi04', 'rorbi04', 'korpi04', 'korbi05', 'korbi55', 'sgs1', 'korji_8', 'koryi_5', 'korbi_7', 'kbrbi05', 'sga7', 'korfi04', 'tga1', 'korbh05', 'korbi_5', 'korji05', 'koubi_5', 'korbi_3', 'klrbi05', 'korri_8', 'korbi08', 'korbi03', 'klrbi05', 'korbi55', 'korbi14', 'korbi_8', 'vorbi05', 'tga1', 'kormi05', 'korpi_8', 'sgx1', 'sgp1', 'ksrbi_5', 'ksrbi_8', 'korbi03', 'kodbi04', 'kga1', 'koabi_8', 'korby_8', 'porbi_5', 'lorbi_5', 'ktrbi04', 'sga4', 'korbi01', 'kga1', 'ksrbi_8', 'kozbi_8', 'kodbi_8', 'korbi_6', 'koroi_8', 'horbi05', 'korbi_5']"
번호,DIS_NO,"['MLS060307G01', 'MLS060301G01', 'MLG020301G01', 'MLS020302G03', 'MLS029303G03', 'MLS027303G03', 'MLS060101G01', 'MLS020301G01', 'MLS060101G01', 'MLS020300G01', 'MLS010011G01', 'MLI060301G01', 'MLS060801G01', 'MLB010001G01', 'MLS860301G01', 'MLS023301G01', 'MLS020301J01', 'WLS020303G03', 'MLS020303G13', 'MLS010001G21', 'MLS020303O03', 'MLS060101F01', 'MLS020307G03', 'MLS020303R03', 'MLS060301G01', 'MLS020103G03', 'MLS060301V01', 'QLS020303G03', 'MLS060101G51', 'MLS020303G73', 'MLS000301G01', 'MLS050001G01', 'MLS160101G01', 'ELS060301G01', 'MMS060301G01', 'MLS024303G03', 'MLS010001B01', 'MPS010001G01', 'MLS060101G01', 'MLS020303G02', 'MLS060001G01', 'MLS010001W01', 'MGS010001G01', 'MLT060301G01', 'MLS060101G02', 'MLS029301G01', 'MLS060301G01', 'MLS020303G04', 'MLS010001G03', 'MLQ020301G01', 'MLS020371G01', 'MLS010303G03', 'MLS060101G00', 'MYS010001G01', 'MLS010001G51', 'ELS020301G01', 'HLS060301G01', 'MLS060101U01', 'XLS060101G01', 'MLC060301G01', 'MLS020301Z01', 'MLS010801G01', 'MLS060301Q01', 'MLS020302G01', 'MLS060301G21', 'MLG020301G01', 'MLS050101G01', 'MLS020383G03', 'MLS040301G01', 'MLS010009G01', 'MLS020103G03', 'MLS013001G01', 'MLS064101G01', 'MLS020303K03', 'MLS810001G01', 'MLS014001G01', 'MLS060301W01', 'JLS020301G01', 'MLS060101T01', 'MLS020373G03', 'MLS060301G02', 'MLS080001G01', 'MLZ020301G01', 'MLS010001G01', 'MXS020301G01', 'MLS720301G01', 'MLS020307G01', 'MLS063101G01', 'MLS060101G01', 'MLL020301G01', 'MLS060101F01', 'MLS060101G21', 'MTS060301G01', 'MLS060101G71', 'MLS023303G03', 'HLS060101G01', 'MLS060101P01', 'MLQ010001G01', 'MLS020801G01', 'MLS060102G01']"
번호,INP_USR_ID,"['koebi03', 'gdmin', 'hdmin', 'adlin', 'xorbi_5', 'korbz03', 'korbc10', 'korbi06', 'korbi60', 'iorbi_5', 'borbi04', 'korbn10', 'kogbi_5', 'korbp10', 'norbi03', 'korbi00', 'korbi54', 'korbi_2', 'kirbi04', 'konbi_5', 'korbi_2', 'korbi13', 'gdmin', 'wdmin', 'admmn', 'korwi04', 'admip', 'koabi03', 'admmn', 'kgrbi_5', 'koubi10', 'korvi03', 'iorbi03', 'admhn', 'korbd04', 'oorbi04', 'admig', 'korbi04', 'korai_5', 'korbg10', 'korbi09', 'kcrbi_5', 'admik', 'koroi03', 'kvrbi_5', 'korqi_5', 'koibi_5', 'korpi10', 'admpn', 'horbi_5', 'korbb_5', 'korbi06', 'dorbi03', 'admiv', 'korbi33', 'korsi_5', 'kirbi03', 'admij', 'vdmin', 'korbi80', 'morbi10', 'admun', 'korbi03', 'udmin', 'konbi10', 'kojbi03', 'zorbi04', 'korbi60', 'korbi34', 'corbi10', 'admhn', 'admyn', 'admon', 'admrn', 'adein', 'korbi17', 'korci03', 'klrbi03', 'kzrbi03', 'korbx_5', 'forbi04', 'kirbi03', 'korbi20', 'korbi94', 'korbd10', 'admig', 'norbi04', 'korbm04', 'yorbi_5', 'torbi_5', 'koebi03', 'admzn', 'korbo03', 'korpi03', 'korbi08', 'admik', 'adgin', 'korbi05', 'korbi00', 'korti10']"
날짜,INP_DT,"['27230503', '20232504', '20230506', '20228215', '20234504', '20221218', '20210503', '20221315', '20229215', '20221246', '20221928', '20238504', '20290504', '27221215', '20221728', '20221115', '20250504', '20230509', '20261215', '20230506', '20230513', '20271228', '22221216', '20220228', '20521216', '60230504', '20330504', '20221228', '20221218', '25221228', '24221228', '20230503', '20251215', '24221228', '20221208', '20221205', '20230503', '60221228', '20330504', '20221215', '20251228', '20221210', '20330504', '20230503', '20251216', '80230504', '27230504', '22221215', '20821215', '20230503', '20280503', '20421228', '20221226', '60230504', '20221227', '10230503', '90221228', '20621216', '20021228', '20230603', '20330504', '20221216', '20230506', '20230503', '20230514', '20221216', '20130503', '20221916', '20221428', '20221116', '20221928', '20228215', '20730504', '20230904', '20221215', '27221215', '20221915', '20220504', '28221215', '20232504', '20421228', '20230503', '20211228', '20220216', '20224228', '20221219', '20221215', '22221228', '90221216', '20221212', '20221211', '50221215', '20221222', '20211215', '20251228', '20221215', '20230604', '29230503', '20261216', '20211215']"
날짜,INP_TM,"['102507', '090141', '302527', '102053', '102055', '402527', '591202', '091141', '091202', '091111', '102527', '093557', '091252', '302050', '091147', '591141', '091202', '091241', '091206', '193857', '391202', '094202', '091202', '102521', '093859', '091702', '091282', '105527', '091441', '102051', '093859', '093827', '091541', '093857', '091111', '402527', '096857', '093827', '091111', '702527', '602527', '172527', '102000', '094141', '102525', '091902', '094857', '093858', '093867', '031141', '100527', '191202', '093857', '991202', '023857', '101050', '092141', '023857', '093807', '093853', '061141', '093257', '102450', '122527', '091202', '093157', '102327', '102450', '102522', '091141', '095202', '093837', '702527', '108527', '093852', '802050', '102521', '091441', '096857', '091143', '091141', '090857', '102090', '091145', '152527', '091292', '102727', '091171', '202527', '101050', '093857', '093457', '102050', '093853', '104050', '202050', '097857', '702050', '091141', '093857']"
번호,UPT_USR_ID,"['korbi08', 'eorbi_5', 'koroi_5', 'korbi01', 'afmin', 'kgrbi_5', 'koubi04', 'korbi18', 'corbi03', 'yorbi03', 'kgrbi03', 'korbi15', 'eorbi_5', 'admzn', 'korbi60', 'koubi04', 'korbi04', 'korpi10', 'koybi04', 'admfn', 'admiu', 'korci04', 'aorbi03', 'eorbi04', 'korni04', 'cdmin', 'kyrbi10', 'corbi03', 'korbi03', 'korbi08', 'admvn', 'korli04', 'korci04', 'kovbi_5', 'korbi53', 'korbi13', 'iorbi_5', 'korbw04', 'korbi34', 'admin', 'admio', 'admvn', 'borbi_5', 'korbo04', 'koibi10', 'kogbi_5', 'kurbi10', 'admsn', 'korbi_2', 'adsin', 'korbi03', 'korbi13', 'kormi10', 'kyrbi10', 'adsin', 'kbrbi10', 'korbi93', 'korni10', 'korbg04', 'korbi44', 'korbo04', 'kprbi04', 'korbi08', 'ksrbi10', 'korsi_5', 'admik', 'vorbi10', 'korbk03', 'kerbi10', 'korbi06', 'kprbi03', 'admid', 'korbb_5', 'admyn', 'qorbi_5', 'korbi07', 'korbi_2', 'krrbi_5', 'adein', 'lorbi03', 'xdmin', 'qorbi_5', 'advin', 'korbj_5', 'jdmin', 'korbi00', 'iorbi_5', 'korbi04', 'khrbi_5', 'korli03', 'korbi03', 'qdmin', 'adfin', 'korbi01', 'kombi03', 'korbi53', 'koobi_5', 'gorbi04', 'kzrbi_5', 'admin']"
