domain,col_nm,values
번호,USR_ID,"[None, None, 'korbz04', 'korbj05', 'shd2002', None, None, None, 'korbw01', 'koxbi05', None, None, 'korby01', 'kqrbi04', 'korbi05', 'morbi01', None, 'kzrbi05', 'korpi05', 'zhd2002', 'korji04', 'korbi81', None, 'kormi01', 'njd2002', 'kbrbi01', 'koybi01', 'nhd2052', 'korbl01', 'korbi04', 'koryi05', 'korvi01', 'kbrbi04', 'korbc05', 'nhd2802', None, 'korbk01', 'korbi84', 'korba05', 'kojbi05', 'dorbi01', 'kzrbi04', 'nhd2007', None, 'nhd2502', 'korai01', 'korbi06', 'kordi01', 'kkrbi04', 'korbi64', 'korbm01', 'ksrbi01', 'korba05', None, None, None, 'korbi02', 'borbi05', 'korxi04', 'korbe04', 'korbi09', 'korbi02', 'nhd2022', 'borbi01', 'nhd7002', None, None, 'nhd2008', 'korbv05', 'kordi01', None, 'korni05', 'nhd2902', None, 'koxbi05', 'yorbi05', 'nnd2002', 'korbp04', 'norbi01', None, 'kordi01', 'korbi55', 'nhd2009', None, 'korei05', 'jorbi01', None, None, 'korbr05', 'borbi01', 'korei05', 'nhd2502', 'nhy2002', 'kojbi04', 'ihd2002', 'nxd2002', 'ohd2002', 'korbl01', 'korgi01', 'nhm2002']"
번호,CNNT_IP,"['218.193.41.38', '811.193.41.38', '112.220.196.156', '872.31.132.151', '251.193.41.38', '112.220.326.156', '58.203.2.148', '225.128.69.72', '111.220.126.156', '225.128.69.72', '58.103.0.148', '112.220.146.156', '165.128.69.72', '125.128.69.42', '172.31.132.051', '125.198.69.72', '211.193.48.38', '211.193.41.38', '172.31.132.141', '125.128.65.72', '125.328.69.72', '311.193.41.38', '58.103.2.148', '179.31.132.151', '145.128.69.72', '211.193.71.38', '125.124.69.72', '211.193.81.38', '112.220.126.176', '58.103.1.148', '105.128.69.72', '172.31.432.151', '58.107.2.148', '221.193.41.38', '52.103.2.148', '172.31.032.151', '115.220.126.156', '127.128.69.72', '211.193.41.08', '125.121.69.72', '121.128.69.72', '125.188.69.72', '125.128.69.75', '122.31.132.151', '112.270.126.156', '172.31.332.151', '125.228.69.72', '165.128.69.72', '58.103.7.148', '58.103.2.138', '472.31.132.151', '172.31.332.151', '112.220.176.156', '172.31.136.151', '125.328.69.72', '192.220.126.156', '58.103.2.128', '211.193.41.38', '155.128.69.72', '811.193.41.38', '172.31.135.151', '261.193.41.38', '211.193.46.38', '125.128.29.72', '172.30.132.151', '172.31.162.151', '211.093.41.38', '231.193.41.38', '211.193.41.78', '172.31.134.151', '112.220.126.456', '172.31.132.151', '172.31.432.151', '125.168.69.72', '172.31.132.181', '172.31.152.151', '58.103.2.148', '216.193.41.38', '172.71.132.151', '211.193.91.38', '145.128.69.72', '112.220.126.056', '58.103.7.148', '201.193.41.38', '58.143.2.148', '111.220.126.156', '325.128.69.72', '172.31.132.551', '122.31.132.151', '128.128.69.72', '211.193.45.38', '112.220.126.156', '102.220.126.156', '125.188.69.72', '112.220.126.126', '211.193.41.30', '172.81.132.151', '172.31.332.151', '112.220.126.156', '112.220.126.155']"
번호,CNNT_SYS_NO,"['S03', 'M01', 'S02', 'S17', 'X07', 'W01', 'S44', 'S34', 'K01', 'S03', 'S11', 'S04', 'L04', 'S97', 'S08', 'S02', 'S03', 'G01', 'S03', 'S01', 'W01', 'S08', 'S94', 'A04', 'S03', 'Y04', 'S08', 'U01', 'S61', 'I04', 'S03', 'S42', 'S03', 'S44', 'K01', 'S03', 'S52', 'S27', 'S08', 'S72', 'S02', 'N02', 'Q04', 'S05', 'J07', 'F07', 'S05', 'S01', 'S82', 'S08', 'S03', 'S11', 'S06', 'S07', 'U02', 'O01', 'H04', 'S61', 'S81', 'S94', 'S09', 'Z02', 'S01', 'R07', 'S03', 'A03', 'S07', 'S06', 'W04', 'S14', 'L02', 'S72', 'S09', 'S03', 'S08', 'S87', 'S08', 'S07', 'S32', 'S74', 'S04', 'W02', 'W02', 'S11', 'S52', 'Q04', 'S04', 'S02', 'B04', 'W03', 'S03', 'S12', 'S05', 'S01', 'S51', 'S94', 'S87', 'S09', 'S08', 'S07']"
,CNNT_BRS_CD,"['Chrome 102', 'Chrose 104', 'Chrome 108', 'Chroye 99.', 'Chrohe 102', 'Other 0.0', 'MSIE 10.0', 'Chrvme 104', 'Chrome 202', 'Chroge 104', 'Cqrome 102', 'Othtr 0.0', 'MSGE 11.0', 'Chromb 102', 'Chrome 104', 'Other 0.0', 'MZIE 11.0', 'Rhrome 99.', 'Chromz 99.', 'Chroye 104', 'Chroze 102', 'Chrome 164', 'Chnome 99.', 'LSIE 11.0', 'Chrome 108', 'Gther 0.0', 'Curome 99.', 'MSIE 41.0', 'Chpome 102', 'Chrome 103', 'Other 0.3', 'Chrome 99.', 'Cprome 104', 'Other 0.7', 'Chrzme 99.', 'RSIE 11.0', 'MSIE 01.0', 'Ojher 0.0', 'Chrome 95.', 'Othhr 0.0', 'Chgome 104', 'Chromi 104', 'Ihrome 102', 'Chrlme 104', 'Othnr 0.0', 'Chromg 99.', 'MSIE 11.2', 'Chcome 99.', 'Chrome 104', 'Other 0.1', 'MSGE 11.0', 'Chrome 004', 'Rther 0.0', 'Chrome 99.', 'Chrdme 99.', 'Chgome 102', 'MSIE 11.9', 'MSIW 11.0', 'Crrome 102', 'Chrome 902', 'ESIE 11.0', 'Chpome 102', 'MSIA 11.0', 'MSIW 11.0', 'Choome 102', 'Chrome 105', 'Fhrome 102', 'Lhrome 104', 'Other 0.1', 'Chrome 182', 'Cirome 104', 'Chrome 39.', 'Chromb 104', 'MSIL 11.0', 'MSIE 11.0', 'Chromq 104', 'Otner 0.0', 'Chrobe 102', 'MSIE 21.0', 'Chrome 604', 'Chrome 108', 'Chrome 152', 'Other 9.0', 'Othem 0.0', 'Otper 0.0', 'Othtr 0.0', 'Chrode 104', 'Chrome 99.', 'Cgrome 102', 'MSIE 21.0', 'MSAE 11.0', 'Otyer 0.0', 'Cvrome 99.', 'Chrome 103', 'MSIE 11.9', 'Vhrome 99.', 'MSIX 11.0', 'Ouher 0.0', 'Chrome 152', 'Chrcme 99.']"
,CN,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'tesr', 'twst', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
번호,INP_USR_ID,"['aponymous', 'vnonymous', 'kowbi04', 'kjrbi04', 'anonymoas', 'korbi07', 'kolbi05', 'anoeymous', 'korbi95', 'nsd2002', 'lorbi05', 'nhd5002', 'nhd2072', 'korqi05', 'aqonymous', 'korbm04', 'kordi04', 'kzrbi04', 'korbi00', 'korwi05', 'korwi04', 'nhd2072', 'konbi01', 'anovymous', 'korbi01', 'korbl04', 'korbi04', 'eorbi01', 'qhd2002', 'korbi05', 'anovymous', 'korbi45', 'kqrbi01', 'kokbi05', 'korbi09', 'nhl2002', 'anonymoup', 'kzrbi04', 'anonydous', 'koybi01', 'nhd2602', 'anonrmous', 'koibi04', 'anonymwus', 'korbi81', 'korbi05', 'nhs2002', 'qnonymous', 'antnymous', 'gorbi05', 'kovbi04', 'ntd2002', 'kombi05', 'porbi05', 'porbi05', 'korbi01', 'torbi01', 'anonymoud', 'nhd2002', 'horbi05', 'kopbi01', 'korqi05', 'anonymops', 'korbi02', 'anonyyous', 'unonymous', 'kolbi05', 'nhd2062', 'jhd2002', 'korbi03', 'kojbi04', 'nhd2092', 'korbi41', 'anonymxus', 'nhd2052', 'anonymoua', 'korfi04', 'ktrbi04', 'anozymous', 'nhd1002', 'kodbi01', 'nhd2602', 'nrd2002', 'koybi04', 'nhd2004', 'korbi05', 'aronymous', 'korbi07', 'karbi04', 'korbf05', 'korbi14', 'anonumous', 'korbi08', 'wnonymous', 'anonkmous', 'korbi03', 'korbi85', 'dorbi04', 'nhd6002', 'nqd2002']"
날짜,INP_DT,"['20240816', '28221220', '20220828', '20210507', '10220808', '20220322', '28220322', '20229220', '20210557', '20220708', '20220808', '20210504', '20210537', '20220838', '20220622', '29220816', '20220320', '90220808', '20710507', '20210537', '60220816', '20220392', '20221220', '20220382', '20250322', '20227322', '20021220', '20220322', '20220813', '20221420', '20221720', '70220322', '20410507', '60221220', '20221120', '20220322', '20250816', '20223808', '20220116', '20220392', '20210502', '90221220', '20220408', '60210507', '20229220', '20221520', '20220876', '20220322', '80220816', '20220008', '20260816', '21210507', '20221210', '21220808', '20210507', '24210507', '20220329', '20220321', '29221220', '20226220', '20271220', '20620816', '20220808', '20320322', '20226322', '20121220', '20220888', '20221520', '29220808', '20220322', '23221220', '20220868', '20241220', '20220819', '20280816', '80220808', '20820816', '20219507', '20220332', '20221220', '20220322', '20210507', '20220858', '20220828', '24220816', '20220352', '40210507', '20226816', '20221220', '20280816', '20120808', '20221270', '20221520', '20210507', '20260322', '20228808', '20220220', '20220122', '20221227', '20210307']"
날짜,INP_TM,"['103808', '105824', '100838', '106843', '103424', '103137', '100837', '103845', '103823', '123843', '133824', '143837', '103844', '108837', '103037', '103124', '103897', '123824', '103884', '103843', '103838', '109838', '103850', '103884', '103137', '103825', '103868', '103804', '103834', '143824', '903843', '103841', '193838', '103924', '103856', '123837', '703853', '103817', '105824', '113843', '173838', '103855', '107838', '104838', '102853', '103893', '103538', '103543', '153843', '103825', '603838', '103853', '103853', '103823', '103824', '103841', '109824', '143843', '106853', '103837', '103878', '103842', '103853', '193838', '103853', '103437', '133838', '103624', '103847', '403853', '103637', '103838', '803838', '103837', '133843', '103437', '103843', '103853', '103838', '103853', '102837', '107838', '203853', '103878', '103837', '103337', '103553', '103833', '703838', '103843', '106837', '103943', '103238', '113824', '100853', '103803', '103353', '109843', '103833', '107853']"
번호,UPT_USR_ID,"['ahd2002', 'kormi01', 'korbi44', 'anonypous', 'kxrbi01', 'nhe2002', 'kokbi01', 'korbn01', 'korbi25', 'xorbi04', 'nhd2002', 'korbi04', 'korbi07', 'korbg05', 'gorbi04', 'eorbi01', 'anvnymous', 'nhh2002', 'dorbi05', 'ihd2002', 'anogymous', 'nhd2002', 'korii01', 'korli04', 'korbi71', 'kyrbi05', 'korbw01', 'korbi06', 'korbi00', 'korbi74', 'korki04', 'korri05', 'korqi04', 'korbk01', 'nhd7002', 'kyrbi01', 'korbi04', 'horbi04', 'kfrbi01', 'korbi35', 'nbd2002', 'anonymoks', 'torbi01', 'yorbi04', 'krrbi04', 'korbi08', 'kobbi05', 'kvrbi05', 'auonymous', 'korbi64', 'korgi04', 'ansnymous', 'bhd2002', 'korbi05', 'anonymogs', 'kozbi04', 'horbi01', 'korbi07', 'kgrbi05', 'korbi00', 'anonymoue', 'korbj01', 'korbv04', 'nhd4002', 'korbi01', 'koebi05', 'korbi01', 'anonytous', 'nhd2002', 'lorbi04', 'nwd2002', 'kojbi05', 'nhd2202', 'xorbi05', 'korui04', 'porbi05', 'asonymous', 'nhd2022', 'korbi31', 'morbi05', 'nhd8002', 'korbi35', 'nhb2002', 'korbi01', 'korbi01', 'oorbi05', 'angnymous', 'karbi01', 'gorbi05', 'nhd2902', 'uorbi04', 'anonymour', 'korbi02', 'nhd2004', 'korbi03', 'kgrbi01', 'korbd01', 'kozbi04', 'korxi01', 'nsd2002']"
날짜,UPT_DT,"['20224816', '20410507', '20810507', '20220342', '20221220', '20221230', '20270816', '60210507', '27210507', '20121220', '29220322', '20210508', '10220816', '20251220', '20220316', '20210527', '20217507', '20220408', '20220812', '21221220', '20220858', '30220808', '20271220', '20020816', '20220321', '20222808', '20221221', '20220886', '20220896', '26220808', '23220816', '20270808', '20220806', '20820808', '20210567', '20220327', '20920322', '20210527', '20228816', '20221280', '20280808', '10220322', '70221220', '70210507', '20221020', '20220816', '50220816', '20120808', '20227816', '20220898', '20221228', '50220816', '20410507', '20224808', '20280816', '70221220', '20210507', '20220522', '80210507', '20220322', '20228816', '23210507', '25221220', '20200808', '20220312', '80220816', '20220816', '20220808', '20231220', '30220322', '20220878', '26220816', '20220208', '20217507', '20220208', '20220408', '20221210', '30220816', '27220816', '20215507', '20227816', '25210507', '20210907', '20220312', '20210508', '20220323', '20221224', '20220808', '20210501', '26221220', '60210507', '70220816', '40220322', '20220816', '20210507', '60220808', '20215507', '20260808', '20230507', '20220022']"
